MINI-BOS-SMART-CODE-3.0: POI_Switch,MINI-BOS-SMART-CODE-3.0: Space_Switch,MINI-BOS-SMART-CODE-3.0: Fltr1_Switch,MINI-BOS-SMART-CODE-3.0: Fltr2_Switch,MINI-BOS-SMART-CODE-3.0: My_Bars_Since_Entry,MINI-BOS-SMART-CODE-3.0: Fract,MINI-BOS-SMART-CODE-3.0: POI_N1,MINI-BOS-SMART-CODE-3.0: NATR,MINI-BOS-SMART-CODE-3.0: Filter1_N1,MINI-BOS-SMART-CODE-3.0: Filter1_N2
3.00,2.00,2.00,0.00,26.00,0.70,8.00,5.00,19.00,16.00
3.00,2.00,10.00,0.00,26.00,0.70,1.00,5.00,20.00,16.00
3.00,2.00,2.00,0.00,26.00,0.70,5.00,5.00,20.00,19.00
3.00,2.00,2.00,0.00,26.00,0.70,2.00,5.00,22.00,14.00
3.00,2.00,14.00,0.00,26.00,0.70,1.00,5.00,23.00,16.00
3.00,2.00,10.00,0.00,26.00,0.70,5.00,5.00,20.00,24.00
3.00,2.00,2.00,0.00,26.00,0.70,5.00,5.00,20.00,20.00
3.00,2.00,2.00,0.00,26.00,0.70,1.00,5.00,23.00,16.00
3.00,2.00,10.00,0.00,26.00,0.70,5.00,5.00,19.00,20.00
3.00,2.00,2.00,0.00,26.00,0.70,5.00,5.00,20.00,16.00
3.00,2.00,2.00,0.00,26.00,0.70,1.00,5.00,19.00,16.00
3.00,2.00,14.00,0.00,26.00,0.70,5.00,5.00,20.00,19.00
3.00,2.00,2.00,0.00,26.00,0.70,2.00,5.00,20.00,19.00
3.00,2.00,14.00,0.00,26.00,0.70,1.00,5.00,20.00,25.00
3.00,2.00,14.00,0.00,26.00,0.70,1.00,5.00,16.00,22.00
3.00,2.00,2.00,0.00,26.00,0.70,2.00,5.00,23.00,22.00
3.00,2.00,2.00,0.00,26.00,0.70,5.00,5.00,23.00,22.00
3.00,2.00,2.00,0.00,26.00,0.70,5.00,5.00,19.00,13.00
3.00,2.00,2.00,0.00,26.00,0.70,5.00,5.00,15.00,22.00
3.00,2.00,2.00,0.00,26.00,0.70,2.00,5.00,17.00,16.00
3.00,2.00,10.00,0.00,26.00,0.70,5.00,5.00,16.00,16.00
3.00,2.00,10.00,0.00,26.00,0.70,5.00,5.00,22.00,14.00
3.00,1.00,14.00,0.00,26.00,0.70,5.00,5.00,7.00,16.00
3.00,1.00,14.00,0.00,26.00,0.70,5.00,5.00,6.00,16.00
3.00,1.00,14.00,0.00,26.00,0.70,5.00,5.00,6.00,14.00
3.00,1.00,2.00,0.00,26.00,0.70,5.00,5.00,20.00,5.00
3.00,1.00,2.00,0.00,26.00,0.70,2.00,5.00,17.00,14.00
3.00,1.00,2.00,0.00,26.00,0.70,2.00,5.00,17.00,15.00
3.00,1.00,2.00,0.00,26.00,0.70,1.00,5.00,17.00,14.00
3.00,1.00,2.00,0.00,26.00,0.70,6.00,5.00,17.00,14.00
3.00,1.00,10.00,0.00,27.00,0.70,5.00,5.00,19.00,14.00
3.00,1.00,10.00,0.00,27.00,0.70,5.00,5.00,20.00,16.00
3.00,1.00,2.00,0.00,27.00,0.70,5.00,5.00,23.00,16.00
3.00,1.00,14.00,0.00,27.00,0.70,2.00,5.00,25.00,16.00
3.00,1.00,2.00,0.00,27.00,0.70,1.00,5.00,23.00,14.00
3.00,1.00,2.00,0.00,27.00,0.70,1.00,5.00,23.00,16.00
3.00,1.00,2.00,0.00,27.00,0.70,5.00,5.00,23.00,25.00
3.00,2.00,2.00,0.00,27.00,0.70,2.00,5.00,20.00,16.00
3.00,1.00,2.00,0.00,26.00,0.70,1.00,5.00,11.00,17.00
3.00,1.00,2.00,0.00,27.00,0.70,3.00,5.00,17.00,7.00
3.00,2.00,2.00,0.00,26.00,0.70,2.00,5.00,14.00,14.00
3.00,1.00,2.00,0.00,26.00,0.70,5.00,5.00,15.00,14.00
3.00,1.00,14.00,0.00,26.00,0.60,5.00,5.00,11.00,16.00
3.00,1.00,2.00,0.00,26.00,0.60,5.00,5.00,19.00,17.00
3.00,1.00,10.00,0.00,26.00,0.60,3.00,5.00,17.00,14.00
3.00,1.00,10.00,0.00,26.00,0.60,5.00,5.00,17.00,18.00
3.00,1.00,10.00,0.00,26.00,0.60,5.00,5.00,19.00,22.00
3.00,1.00,14.00,0.00,26.00,0.60,2.00,5.00,20.00,16.00
3.00,1.00,10.00,0.00,26.00,0.60,5.00,5.00,19.00,18.00
3.00,1.00,2.00,0.00,26.00,0.60,5.00,5.00,19.00,16.00
3.00,2.00,2.00,0.00,26.00,0.70,5.00,5.00,14.00,20.00
3.00,2.00,2.00,0.00,26.00,0.70,3.00,5.00,13.00,17.00
3.00,2.00,10.00,0.00,26.00,0.60,5.00,5.00,19.00,14.00
3.00,2.00,2.00,0.00,26.00,0.60,5.00,5.00,23.00,22.00
3.00,2.00,2.00,0.00,26.00,0.60,5.00,5.00,23.00,14.00
3.00,1.00,2.00,0.00,26.00,0.70,1.00,5.00,16.00,14.00
3.00,1.00,2.00,0.00,26.00,0.70,1.00,5.00,16.00,16.00
3.00,1.00,2.00,0.00,26.00,0.70,5.00,5.00,15.00,16.00
3.00,2.00,16.00,0.00,26.00,0.60,5.00,5.00,23.00,22.00
3.00,1.00,10.00,0.00,26.00,0.80,5.00,5.00,20.00,16.00
3.00,1.00,10.00,0.00,26.00,0.80,6.00,5.00,16.00,14.00
3.00,1.00,2.00,0.00,26.00,0.80,2.00,5.00,20.00,13.00
3.00,2.00,2.00,0.00,26.00,0.70,5.00,5.00,16.00,14.00
3.00,1.00,2.00,0.00,26.00,0.70,5.00,5.00,14.00,16.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,11.00,8.00
3.00,1.00,10.00,0.00,27.00,0.60,1.00,5.00,16.00,14.00
3.00,1.00,10.00,0.00,27.00,0.60,5.00,5.00,14.00,7.00
3.00,2.00,10.00,0.00,27.00,0.60,5.00,5.00,14.00,5.00
3.00,2.00,10.00,0.00,27.00,0.60,5.00,5.00,19.00,5.00
3.00,1.00,2.00,1.00,26.00,0.70,2.00,5.00,25.00,4.00
3.00,2.00,10.00,0.00,25.00,0.60,3.00,45.00,25.00,5.00
3.00,1.00,2.00,0.00,25.00,0.60,5.00,45.00,17.00,22.00
3.00,1.00,2.00,0.00,25.00,0.60,2.00,45.00,20.00,17.00
3.00,2.00,2.00,0.00,25.00,0.60,1.00,40.00,19.00,16.00
3.00,2.00,14.00,0.00,25.00,0.60,5.00,40.00,16.00,20.00
3.00,2.00,2.00,0.00,25.00,0.60,2.00,40.00,19.00,14.00
3.00,1.00,2.00,0.00,26.00,0.60,5.00,10.00,19.00,22.00
3.00,1.00,2.00,0.00,26.00,0.60,5.00,10.00,25.00,16.00
3.00,1.00,2.00,0.00,27.00,0.60,5.00,5.00,14.00,14.00
3.00,2.00,2.00,0.00,26.00,0.90,2.00,5.00,17.00,16.00
3.00,2.00,10.00,1.00,26.00,0.70,5.00,5.00,20.00,22.00
3.00,1.00,2.00,1.00,26.00,0.70,5.00,5.00,23.00,16.00
3.00,1.00,10.00,1.00,26.00,0.70,5.00,5.00,16.00,14.00
3.00,1.00,10.00,1.00,26.00,0.70,7.00,5.00,23.00,14.00
3.00,1.00,2.00,1.00,26.00,0.70,5.00,5.00,17.00,16.00
3.00,1.00,10.00,1.00,26.00,0.70,5.00,5.00,15.00,14.00
3.00,1.00,10.00,1.00,26.00,0.70,1.00,5.00,20.00,20.00
3.00,1.00,10.00,1.00,26.00,0.70,5.00,5.00,20.00,15.00
3.00,2.00,2.00,1.00,26.00,0.70,1.00,5.00,20.00,24.00
3.00,2.00,2.00,1.00,26.00,0.70,5.00,5.00,20.00,24.00
3.00,2.00,14.00,1.00,26.00,0.70,1.00,5.00,23.00,16.00
3.00,2.00,10.00,1.00,26.00,0.70,5.00,5.00,20.00,14.00
3.00,2.00,14.00,1.00,26.00,0.70,5.00,5.00,11.00,20.00
3.00,1.00,10.00,1.00,26.00,0.70,5.00,5.00,11.00,11.00
3.00,1.00,14.00,1.00,26.00,0.70,2.00,5.00,23.00,16.00
3.00,2.00,2.00,1.00,26.00,0.70,5.00,5.00,19.00,25.00
3.00,2.00,14.00,1.00,26.00,0.70,5.00,5.00,20.00,5.00
3.00,1.00,14.00,1.00,26.00,0.70,5.00,5.00,20.00,16.00
3.00,2.00,2.00,1.00,26.00,0.70,5.00,5.00,24.00,22.00
3.00,1.00,10.00,0.00,25.00,0.60,5.00,40.00,14.00,20.00
3.00,1.00,2.00,0.00,25.00,0.60,5.00,40.00,16.00,17.00
3.00,1.00,14.00,0.00,25.00,0.60,5.00,40.00,16.00,19.00
3.00,1.00,14.00,1.00,26.00,0.70,2.00,5.00,3.00,16.00
3.00,1.00,2.00,0.00,26.00,0.60,2.00,5.00,16.00,14.00
3.00,1.00,2.00,1.00,25.00,0.70,1.00,5.00,23.00,4.00
3.00,1.00,10.00,0.00,25.00,0.70,1.00,5.00,23.00,14.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,19.00,13.00
3.00,1.00,10.00,0.00,25.00,0.70,5.00,5.00,20.00,16.00
3.00,1.00,10.00,0.00,25.00,0.70,5.00,5.00,17.00,20.00
3.00,1.00,2.00,0.00,25.00,0.70,2.00,5.00,22.00,14.00
3.00,1.00,10.00,0.00,25.00,0.70,5.00,5.00,20.00,18.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,22.00,16.00
3.00,1.00,10.00,0.00,25.00,0.70,1.00,5.00,23.00,16.00
3.00,1.00,10.00,0.00,25.00,0.70,5.00,5.00,16.00,15.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,23.00,16.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,20.00,18.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,19.00,14.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,23.00,18.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,23.00,22.00
3.00,1.00,2.00,0.00,25.00,0.70,1.00,5.00,19.00,14.00
3.00,1.00,2.00,0.00,25.00,0.70,2.00,5.00,23.00,16.00
3.00,1.00,14.00,0.00,25.00,0.70,5.00,5.00,13.00,22.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,5.00,17.00,18.00
3.00,2.00,2.00,0.00,25.00,0.70,1.00,5.00,17.00,16.00
3.00,2.00,2.00,0.00,25.00,0.70,1.00,5.00,23.00,14.00
3.00,2.00,10.00,0.00,25.00,0.70,5.00,5.00,16.00,14.00
3.00,2.00,10.00,0.00,25.00,0.70,1.00,5.00,13.00,23.00
3.00,2.00,10.00,0.00,25.00,0.70,1.00,5.00,16.00,14.00
3.00,2.00,2.00,0.00,25.00,0.70,1.00,5.00,19.00,16.00
3.00,2.00,2.00,0.00,25.00,0.70,6.00,5.00,19.00,16.00
3.00,2.00,2.00,0.00,25.00,0.70,2.00,5.00,14.00,22.00
3.00,2.00,14.00,0.00,25.00,0.70,1.00,5.00,19.00,16.00
3.00,2.00,2.00,0.00,25.00,0.70,5.00,5.00,19.00,14.00
3.00,2.00,2.00,0.00,25.00,0.70,5.00,5.00,22.00,16.00
3.00,2.00,2.00,0.00,25.00,0.70,5.00,5.00,20.00,16.00
