Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,k_ratio,ret_dd,numOptimisations (.KB_ES_60_KB_2503_001)
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,58
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,59
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,60
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,61
13025,5563,51.6807477979507,2.34136257415064,-49850,1.01110022157832,27.23470987977,0,0.211601744493344,0.261283851554664,62
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,63
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,64
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,65
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,66
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,67
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,68
50625,2414,54.7638773819387,20.9714167357084,-76037.5,1.04725070876063,68.9713896457766,0,0.389454474833043,0.665789906296235,69
42112.5,3587,52.0490660719264,11.7403122386395,-74875,1.03957802239113,58.1664364640884,0,0.294594836043829,0.562437395659432,70
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,71
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,72
19362.5,5185,50.9546769527483,3.73432979749277,-57137.5,1.01798736587858,35.7324106113033,0,0.265429619194311,0.338875519579961,73
50625,2414,54.7638773819387,20.9714167357084,-76037.5,1.04725070876063,68.9713896457766,0,0.389454474833043,0.665789906296235,74
48062.5,3808,52.3897058823529,12.6214548319328,-62950,1.04464078391306,79.360165118679,0,0.359582389716582,0.763502779984114,75
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,76
50625,2414,54.7638773819387,20.9714167357084,-76037.5,1.04725070876063,68.9713896457766,0,0.389454474833043,0.665789906296235,77
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,78
42112.5,3587,52.0490660719264,11.7403122386395,-74875,1.03957802239113,58.1664364640884,0,0.294594836043829,0.562437395659432,79
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,80
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,81
76037.5,3851,51.8306933264087,19.7448714619579,-46362.5,1.07227727477959,181.149493746278,0,0.528774939680921,1.64006470746832,82
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,83
76037.5,3851,51.8306933264087,19.7448714619579,-46362.5,1.07227727477959,181.149493746278,0,0.528774939680921,1.64006470746832,84
50925,2414,54.9710024855012,21.0956917978459,-76037.5,1.04756234239283,69.3801089918256,0,0.390907196682724,0.669735327963176,85
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,86
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,87
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,88
65737.5,3906,51.9713261648746,16.8298771121352,-38562.5,1.06351986279033,180.908152734778,0,0.440982463640446,1.70470016207455,89
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,90
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,91
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,92
50925,2414,54.9710024855012,21.0956917978459,-76037.5,1.04756234239283,69.3801089918256,0,0.390907196682724,0.669735327963176,93
48950,2414,54.9710024855012,20.2775476387738,-75625,1.04569694848007,66.6099676815785,0,0.380327724490889,0.647272727272727,94
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,95
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,96
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,97
59225,4110,53.1630170316302,14.4099756690998,-44375,1.05686168616862,141.053885084847,0,0.450736085710149,1.33464788732394,98
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,99
19362.5,5185,50.9546769527483,3.73432979749277,-57137.5,1.01798736587858,35.7324106113033,0,0.265429619194311,0.338875519579961,100
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,101
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,102
48062.5,3808,52.3897058823529,12.6214548319328,-62950,1.04464078391306,79.360165118679,0,0.359582389716582,0.763502779984114,103
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,104
50100,2414,54.8053024026512,20.7539353769677,-76037.5,1.04676779463244,68.2561307901907,0,0.386970689974631,0.658885418379089,105
50250,2414,54.7638773819387,20.8160729080365,-76037.5,1.04688702792227,68.4604904632153,0,0.387591968165361,0.66085812921256,106
42112.5,3587,52.0490660719264,11.7403122386395,-74875,1.03957802239113,58.1664364640884,0,0.294594836043829,0.562437395659432,107
50650,2414,54.8881524440762,20.9817729908865,-76037.5,1.0473010833022,69.0054495912807,0,0.389612071850677,0.666118691435147,108
2175,3461,50.1011268419532,0.628431089280555,-71650,1.00210051064138,3.16766794101584,0,0.209722974581022,0.0303558967201675,109
30875,3731,51.1927097292951,8.27526132404181,-65200,1.02870857886723,49.738219895288,0,0.265206563857552,0.473542944785276,110
59225,4110,53.1630170316302,14.4099756690998,-44375,1.05686168616862,141.053885084847,0,0.450736085710149,1.33464788732394,111
